Page,Section,Content Type,Current Text,Changes,Suggested by,verified by ,Final Changes
Home,Hero Badge,Badge,A Global Youth Initiative,,,,
Home,Hero Heading,Heading,Rediscover your Core Goodness,,,,
Home,Hero Paragraph,Paragraph,"In a world of noise, find your inner clarity. interACT is a global platform helping youth reconnect with their authentic selves through Awareness, Contemplation, and Transformative Silence.","In a world of noise, find your inner clarity. interACT helps you reconnect with your innate goodness through awareness and transformative silence.",,,
Home,Hero Button 1,Button,Start Your Journey,,,,
Home,Hero Button 2,Button,What is interACT?,,,,
Home,What is interACT? Heading,Heading,What is interACT?,,,,
Home,What is interACT? Paragraph,Paragraph,"interACT is a transformative awareness and self-development journey that merges spiritual insight with practical tools for personal growth, tailored especially for youth, emerging leaders and global citizens.",,,,
Home,What is interACT? Button 1,Button,Explore Modules,,,,
Home,What is interACT? Button 2,Button,Learn More,,,,
Home,Inner Strength Heading,Heading,Your Path to Inner Strength,,,,
Home,Inner Strength Paragraph 1,Paragraph,"In a fast-paced world, staying connected to your true self is a superpower. interACT empowers you to pause, reflect, and tap into your inner resources, helping you navigate life with confidence and clarity.",,,,
Home,Inner Strength Paragraph 2,Paragraph,interACT is designed to help you shine from within.,,,,
Home,Unlock Potential Heading,Heading,Unlock Your Potential,,,,
Home,Unlock Potential Subheading,Paragraph,Discover the power of inner stability in a changing world.,,,,
Home,Benefit 1 Title,Heading,Inner Clarity,Innate Awareness,,,
Home,Benefit 1 Description,Paragraph,Gain a clear perspective on your life and goals by quieting the noise around you.,"Recognize yourself as a living being with innate qualities of peace and love. Understand that your thoughts are the seeds of your life's outcomes.",,,
Home,Benefit 2 Title,Heading,Resilience,Internal Resilience,,,
Home,Benefit 2 Description,Paragraph,Build the emotional strength to navigate challenges with grace and confidence.,"Build deep self-worth and inner strength. Shift focus from external validation to stable internal factors like security and character.",,,
Home,Benefit 3 Title,Heading,Ethical Leadership,Inner Wisdom,,,
Home,Benefit 3 Description,Paragraph,"Lead with integrity and compassion, inspiring others through your example.","Access deep discernment through silence. Connect with the ultimate source of power to bring about sustainable change and clarity.",,,
Home,ACT Framework Heading,Heading,The ACT Framework,,,,
Home,ACT Framework Subheading,Paragraph,A practical pathway to inner resilience and ethical leadership.,,,,
Home,Awareness Title,Heading,Awareness,,,,
